Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
53,96265,2,2,66,326,33,33,33.0,0.0,163,163,163.0,0.0,4072.092661,41.55196593,32088.33333,55532.72888,96212,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,20.77598296,20.77598296,33,163,85.0,71.20393248,5070.0,0,0,0,0,0,0,0,0,1,106.25,33.0,163.0,64,0,0,0,0,0,0,2,66,2,326,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
54185,202,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9900.990099,202.0,0.0,202,202,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,4950.49505,4950.49505,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
52772,68,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29411.76471,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14705.88235,14705.88235,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,106,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,22966396,7,5,577,704,575,0,82.42857143,217.2040954,704,0,140.8,314.8383712,55.77714501,0.522502529,2087854.182,3985296.702,9996337,34,23000000,3827732.667,4895312.927,10000000,669,20200000,5037751.25,5771158.988,10000000,37701,0,0,0,0,152,136,0.304793142,0.217709387,0,704,98.53846154,241.5255733,58334.60256,0,0,0,1,0,0,0,0,0,106.75,82.42857143,140.8,152,0,0,0,0,0,0,7,577,5,704,8192,344,3,20,99345.0,88268.1395,161760,36930,9976104.5,28613.0759,9996337,9955872,Benign
53,181,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1226519.337,22099.44751,60.33333333,102.7683479,179,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,11049.72376,11049.72376,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
38315,186440,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,193.0916112,32.18193521,37288.0,68685.1642,158820,4,0,0.0,0.0,0,0,184151,46037.75,76025.09371,158820,4,0,0,0,0,20,100,5.363655868,26.81827934,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49282,47,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,2638297.872,42553.19149,47.0,0.0,47,47,47,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0,0,0,64,0,42553.19149,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,5076039,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,35.65772446,1.182024015,1015207.8,2137337.312,4835647,4,5076039,1269009.75,2380438.138,4835647,4,0,0.0,0.0,0,0,1,0,0,0,100,20,0.985020013,0.197004003,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,360,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,252,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
88,746,2,2,508,2796,254,254,254.0,0.0,1398,1398,1398.0,0.0,4428954.424,5361.930295,248.6666667,389.8132031,698,1,1,1.0,0.0,1,1,47,47.0,0.0,47,47,0,0,0,0,40,40,2680.965147,2680.965147,254,1398,711.6,626.5946058,392620.8,0,0,0,0,0,0,0,0,1,889.5,254.0,1398.0,40,0,0,0,0,0,0,2,508,2,2796,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,7606624,28,36,1928,43793,338,0,68.85714286,134.3973419,2896,0,1216.472222,856.8371903,6010.682269,8.413719411,120740.0635,747172.8187,5937102,2,1669522,61834.14815,83054.08945,208515,2,7431305,212323.0,1000168.293,5937183,2,0,0,0,0,904,1160,3.681002242,4.732717169,0,2896,703.4,860.8608845,741081.4625,0,0,0,1,0,0,0,0,1,714.390625,68.85714286,1216.472222,904,0,0,0,0,0,0,28,1928,36,43793,29200,164,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,349182,1,1,41,57,41,41,41.0,0.0,57,57,57.0,0.0,280.655933,5.727672102,349182.0,0.0,349182,349182,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,2.863836051,2.863836051,41,57,46.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,69.5,41.0,57.0,32,0,0,0,0,0,0,1,41,1,57,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,34860,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,344.2340792,57.37234653,34860.0,0.0,34860,34860,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,28.68617326,28.68617326,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,257,119,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,31125,2,2,80,248,40,40,40.0,0.0,124,124,124.0,0.0,10538.15261,128.5140562,10375.0,17886.02267,31028,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,40,40,64.25702811,64.25702811,40,124,73.6,46.00869483,2116.8,0,0,0,0,0,0,0,0,1,92.0,40.0,124.0,40,0,0,0,0,0,0,2,80,2,248,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
43552,966,3,1,31,6,31,0,10.33333333,17.89785834,6,6,6.0,0.0,38302.27743,4140.786749,322.0,500.5666789,899,4,903,451.5,632.8605692,899,4,0,0.0,0.0,0,0,0,0,0,0,96,20,3105.590062,1035.196687,0,31,7.4,13.44618905,180.8,0,0,0,0,1,0,0,0,0,9.25,10.33333333,6.0,96,0,0,0,0,0,0,3,31,1,6,1210,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,50513,2,2,74,130,37,37,37.0,0.0,65,65,65.0,0.0,4038.56433,79.18753588,16837.66667,29157.63197,50506,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,40,39.59376794,39.59376794,37,65,48.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,60.25,37.0,65.0,64,0,0,0,0,0,0,2,74,2,130,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,90031259,10,10,48,12,6,0,4.8,2.529822128,6,0,1.2,2.529822128,0.666435199,0.222145066,4738487.316,11200000.0,30000000,1,90000000,10000000.0,15000000.0,30000000,1,90000000,10000000.0,15000000.0,30000000,1,0,0,0,0,224,296,0.111072533,0.111072533,0,6,3.142857143,3.070597894,9.428571429,0,0,0,0,1,0,0,0,1,3.3,4.8,1.2,224,0,0,0,0,0,0,10,48,10,12,253,2047,7,20,22.33333333,5.859465277,29,18,30000000.0,11679.22134,30000000,30000000,Benign
53,283,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,565371.0247,14134.27562,94.33333333,122.4636,233,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,7067.137809,7067.137809,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,20666571,12,12,1749,9997,517,0,145.75,225.4519199,2357,0,833.0833333,884.2295525,568.3574697,1.161295698,898546.5652,2864794.351,9997693,8,20700000,1878779.182,4013118.484,9997693,231,20600000,1875349.909,4015402.182,10000000,50,0,0,0,0,392,392,0.580647849,0.580647849,0,2357,469.84,713.6790058,509337.7233,0,0,0,1,0,0,0,0,1,489.4166667,145.75,833.0833333,392,0,0,0,0,0,0,12,1749,12,9997,29200,147,4,32,362174.0,458884.0167,686654,37694,9971009.5,37736.16759,9997693,9944326,Benign
443,116458636,21,19,726,4379,363,0,34.57142857,89.87300564,1460,0,230.4736842,470.7618375,43.83530647,0.34346959,2986118.872,4501379.718,10000000,33,116000000,5822931.8,4925878.339,10100000,49,112000000,6194725.333,5004702.454,10100000,49,0,0,0,0,432,384,0.180321535,0.163148055,0,1460,124.5121951,337.2444308,113733.8061,0,0,0,1,0,0,0,0,0,127.625,34.57142857,230.4736842,432,0,0,0,0,0,0,21,726,19,4379,8192,31088,15,20,165010.2727,209217.287,795804,99761,9972131.909,93425.73808,10000000,9690815,Benign
10108,214,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,56074.76636,9345.794393,214.0,0.0,214,214,214,214.0,0.0,214,214,0,0.0,0.0,0,0,0,0,0,0,40,0,9345.794393,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4380,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,59811,1,1,78,110,78,78,78.0,0.0,110,110,110.0,0.0,3143.234522,33.43866513,59811.0,0.0,59811,59811,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.71933256,16.71933256,78,110,88.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,133.0,78.0,110.0,32,0,0,0,0,0,0,1,78,1,110,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,115744511,25,21,1022,5453,665,0,40.88,138.0342107,1460,0,259.6666667,516.2558797,55.94217768,0.397427054,2572100.244,4378034.604,10200000,2,116000000,4822687.958,5104238.881,10200000,48,113000000,5640688.4,5201398.36,10200000,2,0,0,0,0,520,432,0.215992964,0.18143409,0,1460,137.7659574,371.6412607,138117.2266,0,0,0,1,0,0,0,0,0,140.7608696,40.88,259.6666667,520,0,0,0,0,0,0,25,1022,21,5453,29200,2560,4,20,107813.9091,97985.61418,403160,77306,10100000.0,48195.6884,10200000,10000000,Benign
53,1129,2,2,68,158,34,34,34.0,0.0,79,79,79.0,0.0,200177.1479,3542.95837,376.3333333,644.9002507,1121,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,1771.479185,1771.479185,34,79,52.0,24.64751509,607.5,0,0,0,0,0,0,0,0,1,65.0,34.0,79.0,64,0,0,0,0,0,0,2,68,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,32526,2,2,86,194,43,43,43.0,0.0,97,97,97.0,0.0,8608.497817,122.9785402,10842.0,18734.74107,32475,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,64,61.48927012,61.48927012,43,97,64.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,80.75,43.0,97.0,40,0,0,0,0,0,0,2,86,2,194,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,47585,1,1,58,145,58,58,58.0,0.0,145,145,145.0,0.0,4266.050226,42.03005149,47585.0,0.0,47585,47585,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.01502574,21.01502574,58,145,87.0,50.22947342,2523.0,0,0,0,0,0,0,0,0,1,130.5,58.0,145.0,32,0,0,0,0,0,0,1,58,1,145,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,970687,13,8,812,3621,341,0,62.46153846,112.8159381,1517,0,452.625,667.5036517,4566.86862,21.6341622,48534.35,91041.69831,368311,1,970687,80890.58333,140033.9766,489402,1,884533,126361.8571,150998.5383,368311,219,0,0,0,0,428,264,13.3925766,8.241585599,0,1517,201.5,440.1342598,193718.1667,0,0,0,1,0,0,0,0,0,211.0952381,62.46153846,452.625,428,0,0,0,0,0,0,13,812,8,3621,65535,114,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
59512,55,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18181.81818,18181.81818,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,179,408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,31172,1,1,40,112,40,40,40.0,0.0,112,112,112.0,0.0,4876.170923,64.16014372,31172.0,0.0,31172,31172,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.08007186,32.08007186,40,112,64.0,41.56921938,1728.0,0,0,0,0,0,0,0,0,1,96.0,40.0,112.0,20,0,0,0,0,0,0,1,40,1,112,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
137,4,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,31000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
60936,401,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7481.296758,200.5,277.892965,397,4,401,200.5,277.892965,397,4,0,0.0,0.0,0,0,0,0,0,0,96,0,7481.296758,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,4734,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
